leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,0.003235,0.118392,0.003379,0.488108,0.030098,-0.017264,35.443775,2.437893
1,0.003816,0.139659,0.003986,-0.475604,0.159200,-0.105230,23.150513,167.166458
2,0.004632,0.169538,0.004839,0.470476,0.125626,0.154163,31.149338,342.227051
3,0.005536,0.202638,0.005784,-0.447513,0.254493,0.187818,20.819866,201.890060
4,0.006523,0.238744,0.006815,0.258520,0.312116,0.422076,19.297459,301.251038
5,0.007465,0.273210,0.007798,-0.392558,0.286399,0.296303,27.742386,215.799911
6,0.008454,0.309424,0.008832,0.467861,0.397613,-0.159458,20.867510,20.118809
7,0.009467,0.346496,0.009890,-0.440074,0.491706,0.180597,16.487000,200.793549
8,0.010407,0.380911,0.010873,0.438827,0.563392,-0.195805,15.053204,25.753481
9,0.011396,0.417125,0.011906,-0.402857,0.606328,-0.236983,18.090113,149.001968
10,0.012338,0.451590,0.012890,0.468387,0.713927,0.081752,14.068673,351.413391
11,0.013325,0.487696,0.013921,-0.217438,0.809073,0.389946,13.357236,238.462982
12,0.014229,0.520796,0.014866,0.303266,0.915752,0.294337,12.387358,315.963959
13,0.015045,0.550675,0.015718,0.345698,1.029580,-0.019628,11.865625,6.101685
14,0.015626,0.571942,0.016325,-0.074299,1.100203,-0.236149,11.790576,109.604645
