leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,-0.011546,0.113624,-0.001407,0.479550,0.067312,-0.003521,30.519833,0.246671
1,-0.013390,0.131774,-0.001631,-0.484365,0.114586,-0.143649,27.403162,163.219894
2,-0.016196,0.159385,-0.001973,0.472687,0.122699,0.028243,30.226845,356.463226
3,-0.019149,0.188452,-0.002333,-0.462386,0.227696,0.204552,22.058828,205.021271
4,-0.022366,0.220107,-0.002725,0.401600,0.187193,0.242973,31.446285,329.906769
5,-0.025420,0.250157,-0.003097,-0.331476,0.289885,-0.387096,24.137547,128.555649
6,-0.028647,0.281917,-0.003490,-0.071232,0.379494,0.480627,18.988819,264.972931
7,-0.031978,0.314703,-0.003896,-0.419490,0.446045,0.283585,17.033642,216.570450
8,-0.035345,0.347831,-0.004306,0.130074,0.484926,0.452767,18.669046,289.895569
9,-0.038676,0.380617,-0.004712,-0.523929,0.540062,-0.044507,19.068066,175.311783
10,-0.041903,0.412377,-0.005105,0.440013,0.612586,0.020566,18.225708,356.950836
11,-0.044957,0.442427,-0.005477,-0.451815,0.707508,-0.228238,15.286933,151.298676
12,-0.048173,0.474081,-0.005869,0.030096,0.808401,-0.434863,13.336702,79.660164
13,-0.051127,0.503149,-0.006229,0.079399,0.905880,0.369378,12.583111,289.162689
14,-0.053933,0.530760,-0.006571,-0.104779,1.018457,0.311074,11.317661,260.905701
15,-0.055777,0.548910,-0.006796,0.005616,1.081300,0.245555,10.893920,283.673645
