leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,0.003765,0.107543,-0.007163,0.469260,0.059047,0.148679,30.774633,341.490143
1,0.004331,0.123694,-0.008239,-0.430658,0.115025,0.222244,26.410559,207.917236
2,0.005175,0.147797,-0.009844,0.496358,0.152235,-0.001449,25.338858,359.020844
3,0.006051,0.172824,-0.011511,-0.483291,0.201429,0.017005,23.193439,183.335114
4,0.007002,0.200002,-0.013321,0.425764,0.226824,-0.268408,24.215178,31.347517
5,0.007976,0.227815,-0.015174,-0.205259,0.275064,0.425327,22.823296,244.169525
6,0.009013,0.257446,-0.017147,0.478465,0.354320,0.103928,18.511183,345.538147
7,0.010008,0.285851,-0.019039,0.058836,0.366297,-0.507403,21.960838,84.290398
8,0.011020,0.314745,-0.020963,0.011240,0.432975,-0.509159,19.676531,89.974129
9,0.011947,0.341224,-0.022727,-0.438650,0.495506,0.157168,18.155449,201.763748
10,0.012941,0.369629,-0.024619,0.048125,0.543244,-0.509518,18.800726,85.849960
11,0.013979,0.399260,-0.026593,-0.457518,0.626398,0.028206,16.518028,186.629349
12,0.014952,0.427074,-0.028445,0.351501,0.719142,0.272789,13.500634,318.169281
13,0.015904,0.454251,-0.030255,-0.255912,0.798516,-0.365580,13.370609,129.028381
14,0.016780,0.479279,-0.031922,-0.380906,0.884378,-0.068912,13.848757,174.686081
15,0.017624,0.503382,-0.033527,0.331157,0.995527,-0.077022,11.247294,7.897903
16,0.018189,0.519532,-0.034603,-0.159104,1.053785,0.149871,10.480008,226.137070
