leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,-0.001144,0.110865,0.000937,0.491715,0.123079,0.017219,23.713684,358.107819
1,-0.001326,0.128574,0.001086,-0.481274,0.152417,-0.105515,22.625530,167.477386
2,-0.001604,0.155514,0.001314,0.486732,0.177197,0.049513,23.413445,354.363098
3,-0.001897,0.183876,0.001553,-0.428597,0.172855,0.243638,27.932760,209.568024
4,-0.002215,0.214762,0.001814,0.473746,0.256633,-0.111790,22.712738,13.424351
5,-0.002518,0.244082,0.002062,-0.484224,0.314162,0.077899,20.584938,188.946945
6,-0.002837,0.275071,0.002324,0.477553,0.367682,0.082027,19.573698,350.579712
7,-0.003167,0.307061,0.002594,-0.418182,0.438079,-0.243694,17.072052,149.313309
8,-0.003501,0.339384,0.002867,0.383649,0.481076,-0.288874,18.126522,37.000290
9,-0.003831,0.371374,0.003137,-0.480457,0.553077,0.050969,16.427954,185.730774
10,-0.004150,0.402363,0.003399,0.427694,0.611950,0.209725,17.107744,334.462524
11,-0.004453,0.431683,0.003647,0.352089,0.688765,-0.300016,16.270130,40.420624
12,-0.004771,0.462569,0.003907,-0.203405,0.800791,-0.380907,12.822243,117.301910
13,-0.005064,0.490931,0.004147,0.066074,0.897878,0.390985,11.972353,280.419983
14,-0.005342,0.517871,0.004375,0.277160,1.000310,-0.165264,12.242861,30.984207
15,-0.005524,0.535580,0.004524,-0.197488,1.069127,-0.166845,10.637625,138.244171
