leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,-0.000283,0.098562,0.000027,0.479351,-0.008178,0.043406,37.629616,354.832123
1,-0.000334,0.116267,0.000031,-0.475965,0.119801,0.126188,25.014868,194.855042
2,-0.000405,0.141142,0.000038,0.448547,0.172931,-0.196604,22.309078,23.653522
3,-0.000484,0.168698,0.000045,-0.420343,0.197721,0.252940,23.493425,211.061951
4,-0.000571,0.198756,0.000054,0.487754,0.251610,0.008632,21.710709,358.993530
5,-0.000653,0.227449,0.000061,-0.427406,0.289785,-0.239571,22.015839,150.684708
6,-0.000740,0.257597,0.000069,0.472298,0.356841,-0.116289,19.570190,13.819338
7,-0.000828,0.288460,0.000078,-0.394599,0.430722,0.277603,16.837948,215.175751
8,-0.000910,0.317111,0.000086,0.482334,0.475776,0.029384,17.895987,356.530487
9,-0.000997,0.347259,0.000094,-0.181043,0.547792,0.443625,16.740513,247.905991
10,-0.001079,0.375952,0.000101,0.386034,0.626408,-0.262497,15.534122,34.151001
11,-0.001166,0.406010,0.000110,-0.438412,0.716995,0.100277,14.695557,192.903122
12,-0.001245,0.433566,0.000117,0.077929,0.822451,0.400287,13.246224,281.191467
13,-0.001316,0.458441,0.000124,0.055370,0.940131,0.323685,11.382825,279.937073
14,-0.001367,0.476146,0.000128,0.076329,1.007472,0.250220,11.127763,287.258423
