leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,-0.003312,0.107730,0.001585,0.489864,0.116934,-0.002530,24.063414,0.477995
1,-0.003691,0.120081,0.001766,-0.491791,0.076953,0.053084,30.371197,186.001877
2,-0.004286,0.139429,0.002051,0.464135,0.124706,-0.146589,27.423616,17.605335
3,-0.004944,0.160839,0.002366,-0.454264,0.152313,-0.195111,27.146826,156.274429
4,-0.005668,0.184389,0.002712,0.484377,0.201980,0.013938,24.723825,358.687714
5,-0.006351,0.206582,0.003039,-0.340036,0.174851,0.361549,31.187618,227.053955
6,-0.007084,0.230437,0.003390,0.358134,0.300417,0.325631,20.302359,318.577209
7,-0.007785,0.253233,0.003725,-0.197774,0.321704,-0.447406,21.666229,112.837875
8,-0.008509,0.276783,0.004071,0.426861,0.330009,0.237542,24.748611,331.797180
9,-0.009321,0.303204,0.004460,-0.487933,0.395097,0.117811,21.884184,193.324036
10,-0.009990,0.324959,0.004780,0.114814,0.459444,0.474971,18.737480,284.865387
11,-0.010802,0.351380,0.005168,-0.480993,0.509272,-0.112775,18.234125,165.918411
12,-0.011526,0.374929,0.005515,0.384061,0.566286,0.278920,17.255363,325.350189
13,-0.012227,0.397726,0.005850,-0.471581,0.629160,-0.101768,15.689235,166.814484
14,-0.012960,0.421580,0.006201,-0.454223,0.693001,0.139456,14.812853,196.803497
15,-0.013642,0.443774,0.006527,0.257314,0.756354,0.364014,14.833147,307.160278
16,-0.014366,0.467324,0.006874,-0.176510,0.840691,0.390353,13.090620,247.080246
17,-0.015024,0.488734,0.007189,-0.302290,0.930843,-0.219044,11.388719,141.778259
18,-0.015619,0.508082,0.007473,0.148914,1.007429,0.268764,11.703762,302.198364
19,-0.015999,0.520433,0.007655,-0.219388,1.052139,-0.156088,11.044713,141.163406
