leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,0.001877,0.117577,-0.006293,0.462803,0.180747,-0.170246,17.774902,19.580605
1,0.002176,0.136357,-0.007298,-0.488976,0.144179,-0.038758,24.491529,176.334976
2,0.002632,0.164929,-0.008827,0.322218,0.174441,-0.381708,24.833942,49.401085
3,0.003113,0.195008,-0.010437,-0.480915,0.202956,-0.090774,25.717756,170.576172
4,0.003635,0.227763,-0.012190,0.480636,0.272730,0.095727,22.350109,347.251892
5,0.004132,0.258859,-0.013855,-0.477895,0.311516,0.073218,22.627207,190.239395
6,0.004656,0.291723,-0.015613,0.462883,0.346025,-0.196677,24.052441,21.560898
7,0.005198,0.325650,-0.017429,-0.451512,0.415784,0.165198,21.876873,201.795288
8,0.005745,0.359930,-0.019264,0.007999,0.509067,0.463258,17.244522,270.267700
9,0.006286,0.393856,-0.021080,-0.201639,0.557922,-0.459630,18.523478,115.366554
10,0.006811,0.426721,-0.022839,-0.113719,0.646413,0.435631,15.892353,255.270416
11,0.007307,0.457816,-0.024503,-0.017582,0.721909,-0.488248,15.408888,93.072067
12,0.007830,0.490572,-0.026256,0.344460,0.819062,-0.310345,14.098831,40.161655
13,0.008310,0.520651,-0.027866,-0.167924,0.928699,0.322488,11.811667,243.296783
14,0.008766,0.549222,-0.029395,-0.065489,1.033273,0.289215,11.961526,256.880890
15,0.009066,0.568003,-0.030400,-0.216192,1.103262,0.086417,10.253739,207.411087
