leaf_index,sheath_pos_x,sheath_pos_y,sheath_pos_z,tip_pos_x,tip_pos_y,tip_pos_z,branching_angle,roll_angle
0,0.003181,0.102615,0.002857,0.495637,0.106699,0.031049,24.658215,356.723450
1,0.003601,0.116147,0.003233,-0.486881,0.089993,0.038511,28.394136,184.113876
2,0.004284,0.138194,0.003847,0.470808,0.117373,-0.148646,28.202988,18.100986
3,0.005005,0.161467,0.004495,-0.461127,0.122876,0.151972,30.864481,197.556580
4,0.005736,0.185024,0.005151,0.495572,0.208696,-0.013561,24.334936,2.187600
5,0.006479,0.208996,0.005818,-0.399669,0.292928,0.269778,18.188889,213.020309
6,0.007273,0.234608,0.006531,0.362524,0.292166,-0.331420,22.578363,43.570358
7,0.008103,0.261374,0.007276,-0.368106,0.348379,0.319174,20.624514,219.660645
8,0.008882,0.286509,0.007976,0.450815,0.393471,0.215315,19.902567,334.865723
9,0.009667,0.311830,0.008681,-0.258181,0.461569,0.410180,17.170235,236.292007
10,0.010446,0.336965,0.009380,0.293884,0.511226,0.397611,16.778040,306.132294
11,0.011276,0.363731,0.010126,-0.324239,0.559701,-0.334957,17.566832,134.194580
12,0.012070,0.389343,0.010839,0.358263,0.633643,0.327495,15.653099,317.551422
13,0.012813,0.413316,0.011506,-0.408643,0.709421,0.176347,14.287592,201.361603
14,0.013543,0.436872,0.012162,0.393518,0.790668,0.208123,13.441774,332.718842
15,0.014264,0.460145,0.012810,-0.373242,0.878518,0.001999,12.844586,178.401932
16,0.014948,0.482192,0.013423,0.325933,0.977594,-0.019527,11.332036,6.048229
17,0.015367,0.495724,0.013800,-0.231734,1.029362,0.084936,10.617190,196.060059
